Tanggal,Barang,Masuk,Keluar,Sisa Stok
28/04/2026,COUPLING MOTOR AND GEAR PUMP /COUPLING GIGI,,2,#REF!
28/04/2026,"BRONZE TCB401 60.5X54,2X50",,2,#REF!
28/04/2026,SWITCH RELAY 24V,,2,#REF!
28/08/2026,HANDLE SWITCH,,2,#REF!
28/04/2026,WINGTRUCK POWER UNIT 24V,,2,#REF!
29/04/2026,SWITCH RELAY 24V,,6,#REF!
29/04/2026,CATRIDGE VALVE + COIL 12V,,8,#REF!
29/04/2026,BRONZE TCB401 35X40x25,,2,#REF!
30/04/2026,BRONZE TCB401 35X40x25,,1,#REF!
30/04/2026,BRONZE 110/100X80X55/25.5,,5,#REF!
30/04/2026,HANDLE P100-1 ALL PORT 3/4,,1,#REF!
30/04/2026,MANIFOLD COSTOMIZE 1 STATION,,14,#REF!
30/04/2026,MANIFOLD COSTOMIZE 1 STATION,,14,#REF!
30/04/2026,WINGTRUCK POWER UNIT 24V,,20,#REF!
04/05/2026,BRONZE TCB401 35X40x25,,2,#REF!
04/05/2026,BRONZE TCB401 50X56x30,,2,#REF!
04/05/2026,PISTON 63 IMPORT,,2,#REF!
04/05/2026,BRONZE TCB401 30X35x25,,72,#REF!
04/05/2026,BRONZE TCB401 30X35x25,,28,#REF!
04/05/2026,AS DIA 30 XP522,,100,#REF!
04/05/2026,TABUNG DIA 50X60,,100,#REF!
04/05/2026,BRONZE TCB401 30X35x25,,5,#REF!
04/05/2026,"MOTOR GIGI 24V,2KW",,1,#REF!
04/05/2026,SWITCH RELAY 24V,,1,#REF!
04/05/2026,GEAR PUMP 2CC CBK,,1,#REF!
04/05/2026,WINGTRUCK POWER UNIT 24V,,1,#REF!
04/05/2026,SWITCH RELAY 12V,,1,#REF!
04/05/2026,BREATHER FILTER AB-1163,,2,#REF!
04/05/2026,DRIVE COUPLING NL5,,2,#REF!
04/05/2026,BRONZE TCB401 35X40x25,,1,#REF!
04/05/2026,PISTON 63 IMPORT,,1,#REF!
04/05/2026,IR BUSHING 602 24X20X20,,12,#REF!
04/05/2026,BRONZE TCB401 50X56x30,,1,#REF!
04/05/2026,HYDRAULICS LOCK 50L/MIN 1/2,,1,#REF!
05/05/2026,"MOTOR 7,5 HP AC MOTOR 380V",,1,#REF!
05/05/2026,GEAR PUMP 8CC,,1,#REF!
05/05/2026,HANDLE P40-2 PORT 6 1/2,,1,#REF!
05/05/2026,BREATHER FILTER AB-1163,,1,#REF!
05/05/2026,FILTER JL06/MF06,,1,#REF!
05/05/2026,LEVEL GAUGE LS-3,,1,#REF!
05/05/2026,PRESUARE GAUGE 250BAR,,1,#REF!
06/05/2026,PISTON 63 IMPORT,,1,#REF!
06/05/2026,BRONZE TCB 401 40X45X30,,1,#REF!
06/05/2026,PISTON 63 IMPORT,,8,#REF!
06/05/2026,BRONZE TCB401 45X50x30,,8,#REF!
06/05/2026,BRONZE TCB401 30X35x25,,16,#REF!
06/05/2026,IR BUSHING 602 24X20X20,,96,#REF!
06/05/2026,BRONZE TCB 401 30X25X20,,2,#REF!
07/05/2026,BRONZE TCB401 70X80x35,,2,#REF!
07/05/2026,BRONZE TCB401 35X40x25,,10,#REF!
07/05/2026,PISTON 63 IMPORT,,10,#REF!
07/05/2026,BUSHING TCB800 90X100X40,,2,#REF!
07/05/2026,BRONZE TCB401 80X90x40,,42,#REF!
07/05/2026,BUSHING TCB800 90X100X40,,1,#REF!
07/05/2026,WINGTRUCK POWER UNIT 24V,,12,#REF!
07/05/2026,BRONZE TCB401 45X50x30,,2,#REF!
07/05/2026,BUSHING TCB800 100X110X40,,2,#REF!
07/05/2026,"HYD PUMP 3KW,380V WITH HYD LOCK",,1,#REF!
07/05/2026,JOB POWER FCD 100-200,,1,#REF!
07/05/0206,"MOTOR GIGI 24V,2KW",,1,#REF!
07/05/2026,COUPLING MOTOR AND GEAR PUMP /COUPLING GIGI,,1,#REF!
07/05/2026,"CLTG 10012 100TON,300MM",,1,#REF!
07/05/2026,"HANDPUMP 1,5KW DOUBLE ACTING",,1,#REF!
07/05/2026,MANIFOLD COSTOMIZE 1 STATION,,1,#REF!
07/05/2028,HYDROULIK VALVE DF-08,,1,#REF!
07/05/2026,SELENOID DSG-02-3C60-DC24V,,1,#REF!
07/05/2026,POWE PACK 12V+SELENOID,,1,#REF!
07/05/2026,SWITCH RELAY 12V,,1,#REF!
07/05/2026,CABLE DC MOTOR SWICTH RELAY,,1,#REF!
07/05/2026,TANK PLUG,,1,#REF!
20/04/2026,HYDRAULIC LOCK /PILOT CHECK 3/8,,1,#REF!
11/05/2026,"MOTOR GIGI 24V,2KW",,1,#REF!
11/05/2026,BUSHING TCB800 90X100X40,,2,#REF!
11/05/2026,BRONZE TCB401 30X35x25,,6,#REF!
11/05/2026,BRONZE TCB 401 30X25X20,,1,#REF!
11/05/2026,GEAR PUMP 2CC CBK,,1,#REF!
11/05/2026,COUPLING MOTOR AND GEAR PUMP /COUPLING GIGI,,1,#REF!
11/05/2026,"MOTOR GIGI 24V,2KW",,1,#REF!
11/05/2026,SWITCH RELAY 24V,,1,#REF!
11/05/2026,HANDLE VALVE,,1,#REF!
16/05/2026,BALANCE VALVE G 1/2 WHITE,,20,#REF!
16/05/2026,BRONZE TCB401 60X70x35,,20,#REF!
16/05/2026,BRONZE TCB 401 30X25X20,,4,#REF!
16/05/2026,BRONZE 110/100X80X55/25.5,,5,#REF!
16/05/2026,COVER SEAL M3000(DACHENG),,12,#REF!
16/05/2026,CLEVIS DEPAN M3000 (SICHUAN),,12,#REF!
16/05/2026,COVER BELAKANG M3000 (DACHENG),,12,#REF!
16/05/2026,POWERPACK UNIT 220V SECOND,,1,#REF!
16/05/2026,SELENOID DSG-02-3C60-DC24V,,1,#REF!
16/05/2026,MANIFOLD COSTOMIZE 1 STATION,,1,#REF!
16/05/2026,PRESUARE GAUGE 250BAR,,3,#REF!
16/05/2026,"CLY 20-82,55-H145 COVER",,1,#REF!
16/05/2026,DRIVE COUPLING NL5,,1,#REF!
16/05/2026,LEVEL GAUGE LS-3,,2,#REF!
16/05/2026,FILTER JL06/MF06,,1,#REF!
16/05/2026,BREATHER FILTER AB-1163,,2,#REF!
16/05/0206,FILTER JL-04/MF04,,1,#REF!
16/05/2026,HANDLE P40-1 PORT 1/2,,1,#REF!
16/05/2026,GEAR PUMP 4CC,,1,#REF!
16/05/2026,DRIVE COUPLING NL3,,1,#REF!
18/05/2026,HANDLE P40-3 ALL PORT 6 1/2,,1,#REF!
18/05/2026,SELENOID 3C2 24V,,2,#REF!
18/05/2026,"MOTOR GIGI 24V,2KW",,2,#REF!
18/05/2026,COUPLING MOTOR AND GEAR PUMP /COUPLING GIGI,,4,#REF!
18/05/2026,GEAR PUMP 2CC CBK,,1,#REF!
18/05/2026,FILTER OIL,,1,#REF!
18/05/2026,COUPLING MOTOR AND GEAR PUMP /COUPLING GIGI,,1,#REF!
18/05/2026,BLOCK PP DC MERAH /CENTER BLOCK FOR WINGTRUCK,,1,#REF!
18/05/2026,HYDROULIK VALVE Z256,,4,#REF!
18/05/2026,SELENOID 3C2 24V,,4,#REF!
18/05/2026,SWITCH RELAY 24V,,4,#REF!
18/05/2026,CABLE DC MOTOR SWICTH RELAY,,4,#REF!
18/05/2026,4 WAY SELENOID BLOCK,,1,#REF!
18/05/2026,HANDLE VALVE,,1,#REF!
18/05/2026,TANK COLER LIGNM ,,1,#REF!
19/05/2026,SWITCH RELAY 24V,,2,#REF!
19/05/2026,BREATHER FILTER AB-1163,,2,#REF!
19/05/2026,WINGTRUCK POWER UNIT 24V,,17,#REF!
19/05/2026,BRONZE TCB 401 40X45X30,,2,#REF!
19/05/2026,JOB POWER FCD 100-200,,1,#REF!
19/05/2026,"HANDPUMP 1,5KW DOUBLE ACTING",,1,#REF!
19/09/2026,BRONZE 110/100X80X55/25.5,,1,#REF!
08/05/2026,WINGTRUCK POWER UNIT 24V,300,,#REF!
08/05/2026,SWITCH RELAY 12V,540,,#REF!
08/05/2026,SWITCH RELAY 24V,216,,#REF!
08/05/2026,GEAR PUMP 4CC (CBK SERIES),80,,#REF!
08/05/2026,SINGLE ACT BLOCK,21,,#REF!
08/05/2026,SELENOID 3C2 12V,200,,#REF!
08/05/2026,COIL 220V 23HOLE,150,,#REF!
08/05/2026,HYDROULIK VALVE Z256,100,,#REF!
08/05/2026,BEARING TCB700 GEE63ES,12,,#REF!
21/05/2026,BRONZE TCB401 45X50x30,,12,#REF!
21/05/0206,BRONZE TCB401 30X35x25,,2,#REF!
21/05/2026,BALANCE VALVE,,3,#REF!
22/05/2026,BRONZE 95/77X70X53/25,,25,#REF!
22/05/2026,PRESUARE GAUGE 250BAR,,2,#REF!
22/05/2026,BRONZE TCB401 50X56x30,,27,#REF!
22/05/2026,"MOTOR GIGI 12V,2KW",,2,#REF!
22/05/2026,WINGTRUCK POWER UNIT 24V,,2,#REF!
22/05/2026,"FLOW DEVINDER G1/2,2WAY",,1,#REF!
22/05/2026,BRONZE TCB 401 30X25X20,,5,#REF!
22/05/2026,BRONZE TCB401 30X35x25,,104,#REF!
22/05/2026,BRONZE TCB401 50X56x30,,47,#REF!
22/05/2026,BRONZE TCB401 35X40x25,,1,#REF!
23/05/2026,HANDLE VALVE,,2,#REF!
23/05/2026,WINGTRUCK POWER UNIT 24V,,23,#REF!
23/05/2026,WINGTRUCK 12V,,1,#REF!
23/05/2026,SELENOID DSG-03-3C60-220V,,1,#REF!
23/05/2026,GEAR PUMP 8CC,,1,#REF!
23/05/2026,GEAR BOX,,1,#REF!
25/05/2026,"BRONZE TCB401 60.5X54,2X50",,4,#REF!
25/05/2026,PISTON 63 IMPORT,,1,#REF!
25/05/2026,BRONZE TCB 401 40X45X30,,1,#REF!
26/05/2026,BRONZE TCB401 50X56x30,,4,#REF!
26/05/2026,HYDRAULIC LOCK /PILOT CHECK 3/8,,4,#REF!
26/05/2026,BRONZE TCB401 45X50x30,,4,#REF!
26/06/2026,PISTON 63 IMPORT,,1,#REF!
26/05/2026,BRONZE TCB401 30X35x25,,12,#REF!
02/06/2026,BRONZE TCB401 70X80x35,,8,#REF!
02/06/2026,BALANCE VALVE,,1,#REF!
02/06/2026,BRONZE TCB401 30X35x25,,2,#REF!
02/06/2026,PISTON 63 IMPORT,,2,#REF!
02/06/2026,COUPLING MOTOR AND GEAR PUMP /COUPLING GIGI,,15,#REF!
02/06/2026,WINGTRUCK POWER UNIT 24V,,63,#REF!
02/06/2026,BREATHER FILTER AB-1163,,1,#REF!
02/06/2026,HANDLE SWITCH,,2,#REF!
02/06/2026,WINGTRUCK POWER UNIT 24V,,3,#REF!
02/06/2026,WINGTRUCK 12V,,1,#REF!
02/06/2026,"MOTOR GIGI 12V,2KW",,1,#REF!
02/06/2026,GEAR PUMP 2CC CBK,,1,#REF!
02/06/2026,COUPLING MOTOR AND GEAR PUMP /COUPLING GIGI,,1,#REF!
02/06/2026,FILTER OIL,,1,#REF!
02/06/2026,BLOCK PP DC MERAH /CENTER BLOCK FOR WINGTRUCK,,1,#REF!
02/06/2026,HYDROULIK VALVE Z256,,4,#REF!
02/06/2026,SELENOID 3C2 12V,,4,#REF!
02/06/2026,SWITCH RELAY 12V,,1,#REF!
02/06/2026,CABLE DC MOTOR SWICTH RELAY,,1,#REF!
02/06/2026,4 WAY SELENOID BLOCK,,1,#REF!
02/06/2026,HANDLE VALVE,,1,#REF!
02/06/2026,"CLY 180-82,55-H145K8 COVER ",,2,#REF!
02/06/2026,BREATHER FILTER AB-1163,,2,#REF!
02/06/2026,FILTER JL06/MF06,,2,#REF!
02/06/2026,PRESUARE GAUGE 250BAR,,2,#REF!
02/06/2026,LEVEL GAUGE LS-3,,2,#REF!
02/06/2026,RELIEF VALVE MBP-02,,2,#REF!
02/06/2026,DRIVE COUPLING NL5,,2,#REF!
02/06/2026,"MOTOR 5,5HP AC MOTOR 380V",,1,#REF!
02/06/2026,GEAR PUMP 8CC,,1,#REF!
02/06/2026,PRESUARE GAUGE 250BAR,,1,#REF!
02/06/2026,LEVEL GAUGE LS-3,,1,#REF!
02/06/2026,MANIFOLD COSTOMIZE 1 STATION,,1,#REF!
02/06/2026,BREATHER FILTER AB-1162,,1,#REF!
02/06/2026,FILTER JL06/MF06,,1,#REF!
02/06/2026,SELENOID DSG-02-3C60-DC24V,,1,#REF!
02/06/2026,COIL 220V 23HOLE,,2,#REF!
02/06/2026,RELIEF VALVE MBP-02,,1,#REF!
02/06/2026,HYDROULIK VALVE Z256,,1,#REF!
02/06/2026,FLOW FALVE MSW 02,,1,#REF!
02/06/2026,BRONZE TCB800 115/98*80*5,,15,#REF!
02/06/2026,PISTON 63 IMPORT,,11,#REF!
02/06/2026,BRONZE TCB 401 40X45X30,,11,#REF!
02/06/2026,IR BUSHING TCB 602 30X35X20,,22,#REF!
02/06/2026,IR BUSHING 602 24X20X20,,132,#REF!
02/06/2026,BRONZE TCB401 35X40x25,,4,#REF!
02/06/2026,SWITCH RELAY 24V,,1,#REF!
02/06/2026,COUPLING MOTOR AND GEAR PUMP /COUPLING GIGI,,1,#REF!
02/06/2026,WINGTRUCK POWER UNIT 24V,,2,#REF!
03/06/2026,BRONZE TCB401 35X40x25,,4,#REF!
04/06/2026,BRONZE TCB401 35X40x25,,4,#REF!
04/06/2026,"BRONZE TCB401 60.5X54,2X50",,2,#REF!
04/06/2026,BRONZE TCB401 70X80x35,,16,#REF!
09/06/2026,BUSHING TCB800 90X100X40,,1,#REF!
09/06/2026,POWERPACK DOCKLAVELER,,4,#REF!
09/06/2026,BRONZE TCB401 30X35x25,,4,#REF!
09/06/2026,BRONZE TCB401 50X56x30,,8,#REF!
09/06/2026,BRONZE TCB401 35X40x25,,6,#REF!
09/06/2026,PISTON 63 IMPORT,,6,#REF!
09/06/2026,WINGTRUCK POWER UNIT 24V,,20,#REF!
09/06/2026,WINGTRUCK 12V,,1,#REF!
09/06/2026,TAB DIA 360X425XP1295,,1,#REF!
09/06/2026,AS DIA 80XP2235,,34,#REF!
09/06/2026,TAB DIA 125X145XP25135,,32,#REF!
09/06/2026,WINGTRUCK POWER UNIT 24V,,1,#REF!
09/06/2026,HANDLE VALVE,,1,#REF!
09/06/2026,BRONZE TCB401 70X80x35,,1,#REF!
09/06/2026,SWITCH RELAY 12V,,500,#REF!
10/06/2026,WINGTRUCK POWER UNIT 24V,,3,#REF!
10/06/2026,GEAR PUMP 6CC (CBK SERIES),,1,#REF!
10/06/2026,TABUNG /TANKI 10LTR,,1,#REF!
10/06/2026,SWITCH RELAY 24V,,1,#REF!
10/06/2026,GEAR PUMP 6CC,,1,#REF!
10/06/2026,BREATHER FILTER AB-1162,,1,#REF!
10/06/2026,FILTER JL06/MF06,,1,#REF!
10/06/2026,DRIVE COUPLING NL3,,1,#REF!
10/06/2026,BRONZE TCB401 30X35x25,,1,#REF!
10/06/2026,SELENOID 3C2 24V,,2,#REF!
10/06/2026,SWITCH RELAY 24V,,1,#REF!
10/06/2026,CABLE DC MOTOR SWICTH RELAY,,1,#REF!
10/06/2026,GEAR PUMP 2CC CBK,,1,#REF!
10/06/2026,COUPLING MOTOR AND GEAR PUMP /COUPLING GIGI,,1,#REF!
10/06/2026,FILTER OIL,,1,#REF!
10/06/2026,TABUNG /TANKI 10LTR,,1,#REF!
10/06/2026,TANK PLUG,,1,#REF!
10/06/2026,BLOCK PP DC MERAH /CENTER BLOCK FOR WINGTRUCK,,1,#REF!
10/06/2026,SELENOID BLOCK WINGTUCK 1 STATION,,1,#REF!
10/06/2026,SELENOID 3C2 24V,,1,#REF!
10/06/2026,PUSH BUTTON KEY /REMOTE KUNING,,1,#REF!
10/06/2026,FLOW VALVE,,1,#REF!
10/06/2026,AC MOTOR 2HP 1 PHASE /SINGLE PHASE,,4,#REF!
10/06/2026,GEAR PUMP 4CC (CBK SERIES),,4,#REF!
10/06/2026,FILTER OIL,,4,#REF!
10/06/2026,COUPLING MOTOR AND GEAR PUMP /COUPLING GIGI,,4,#REF!
10/06/2026,DOCKLEVELAR JINAN 380 (RUSAK),,4,#REF!
10/06/2026,"COIL 220V,13MM",,4,#REF!
10/06/2026,PUSH BUTTON KEY /REMOTE KUNING,,4,#REF!
10/06/2026,TANK COLER LIGNM ,,4,#REF!
11/06/2026,TABUNG /TANKI 10LTR,,1,#REF!
11/06/2026,BLOCK PP DC MERAH /CENTER BLOCK FOR WINGTRUCK,,1,#REF!
11/06/2026,SELENOID BLOCK WINGTUCK 1 STATION,,1,#REF!
11/06/2026,GEAR PUMP 2CC CBK,,1,#REF!
11/06/2026,"MOTOR GIGI 12V,2KW",,1,#REF!
11/06/2026,SWITCH RELAY 12V,,1,#REF!
11/06/2026,CABLE DC MOTOR SWICTH RELAY,,1,#REF!
11/06/2026,FILTER OIL,,1,#REF!
11/06/2026,TANK PLUG,,1,#REF!
11/06/2026,SELENOID 3C2 12V,,1,#REF!
11/06/2026,PUSH BUTTON KEY /REMOTE KUNING,,1,#REF!
11/06/2026,COUPLING MOTOR AND GEAR PUMP /COUPLING GIGI,,1,#REF!
11/06/2026,BRONZE 95/77X70X53/25,,10,#REF!
11/06/2026,BRONZE TCB401 50X56x30,,1,#REF!
11/06/2026,BRONZE TCB401 30X35x25,,2,#REF!
11/06/2026,BRONZE TCB401 35X40x25,,2,#REF!
11/07/2026,BRONZE TCB401 60X70x35,,4,#REF!
11/06/2026,IR BUSHING TCB 602 30X35X20,,16,#REF!
12/06/2026,COVER SEAL M3000(DACHENG),,5,#REF!
12/06/2026,CLEVIS DEPAN M3000 (DACHENG),,5,#REF!
12/06/2026,COVER BELAKANG M3000 (DACHENG),,5,#REF!
12/06/2026,WINGTRUCK POWER UNIT 24V,,2,#REF!
13/06/2026,BRONZE TCB401 70X80x35,,3,#REF!
15/06/2026,BRONZE TCB401 35X40x25,,37,#REF!
15/06/2026,BRONZE 110/100X80X55/25.5,,6,#REF!
15/06/2026,BUSHING TCB800 90X100X40,,2,#REF!
15/06/2026,BRONZE TCB 401 40X45X30,,14,#REF!
15/06/2026,PISTON 63 IMPORT,,11,#REF!
15/06/2026,HANDLE P100-4 ALL PORT 3/4,,1,#REF!
15/06/2026,SELENOID 3C2 24V,,1,#REF!
15/06/2026,BRONZE TCB401 30X35x25,,16,#REF!
15/06/2026,IR BUSHING 602 24X20X20,,96,#REF!
17/06/2026,CLEVIS DEPAN M3000 (DACHENG),,7,#REF!
17/06/2026,COVER SEAL M3000(DACHENG),,7,#REF!
17/06/2026,COVER BELAKANG M3000 (DACHENG),,7,#REF!
17/06/2026,BRONZE TCB 401 40X45X30,,12,#REF!
18/06/2026,WINGTRUCK POWER UNIT 24V,,2,#REF!
18/06/2026,MOTOR AC 3HP,,1,#REF!
18/06/2026,GEAR PUMP 2CC CBK,,1,#REF!
18/06/2026,SINGGLE ACTION BLOCK 12V,,1,#REF!
18/06/2026,"COIL 220V,13MM",,1,#REF!
18/06/2026,FILTER OIL,,1,#REF!
18/06/2026,POLLY TANK FOR 6L 335M,,1,#REF!
18/06/2026,PRESUARE GAUGE 250BAR,,1,#REF!
18/06/2026,BRONZE 110/100X80X55/25.5,,1,#REF!
18/06/2026,BRONZE TCB401 50X56x30,,10,#REF!
18/06/2026,CLEVIS DEPAN M3000 (DACHENG),,20,#REF!
18/06/2026,BRONZE TCB401 45X50x30,,2,#REF!
19/06/2026,BRONZE TCB401 60X70x35,,1,#REF!
20/06/2026,BRONZE TCB401 70X80x35,,1,#REF!
20/06/0206,BRONZE TCB401 50X56x30,,13,#REF!
20/06/2026,CLEVIS DEPAN M3000 (SICHUAN),,20,#REF!
20/06/2026,"BRONZE TCB401 60.5X54,2X50",,2,#REF!
22/06/2026,"BRONZE TCB401 60.5X54,2X50",,10,#REF!
22/06/2026,BRONZE TCB401 70X80x35,,2,#REF!
